cell,UMAP1,UMAP2,Exhaustion,Stemness,Terminality,Cytotoxicity,Proliferation,ChromatinFixation
ref_00024,-3.4227,-1.7508,0.1614,0.8884,0.1467,0.2707,0.2199,0.138
ref_00025,-4.1316,-2.8144,0.0905,0.8654,0.0843,0.1275,0.198,0.1158
ref_00026,-3.6433,-2.9856,0.087,0.8924,0.0379,0.1978,0.2098,0.0526
ref_00027,-2.7261,-1.5885,0.1367,0.88,0.1502,0.1367,0.2401,0.1871
ref_00028,-3.4377,-2.5359,0.1504,0.9012,0.1132,0.1561,0.2566,0.0944
ref_00029,-2.6699,-1.4125,0.1866,0.8528,0.1635,0.1395,0.2966,0.131
ref_00030,-4.1773,-2.5618,0.1349,0.9104,0.0825,0.2551,0.2811,0.153
ref_00031,-3.4692,-2.4955,0.0583,0.9025,0.1039,0.1794,0.2636,0.2026
ref_00032,-4.1252,-1.9595,0.2335,0.8595,0.091,0.2138,0.3114,0.0839
ref_00033,-3.0984,-2.3698,0.103,0.9032,0.1213,0.2306,0.2829,0.2005
ref_00034,-3.3661,-2.3281,0.0975,0.9218,0.0597,0.1441,0.2797,0.1288
ref_00035,-3.4016,-1.468,0.1677,0.9159,0.0754,0.2266,0.2862,0.1319
ref_00036,-2.9748,-2.5979,0.0988,0.8593,0.1657,0.1197,0.3065,0.1049
ref_00037,-3.2637,-2.181,0.1396,0.8508,0.1095,0.186,0.3054,0.1528
ref_00038,-4.0064,-2.6936,0.0883,0.9344,0.0404,0.2021,0.2383,0.1036
ref_00039,-4.2983,-2.4428,0.0866,0.9221,0.0765,0.131,0.2295,0.0933
ref_00040,-3.105,-1.3941,0.1867,0.8431,0.1773,0.2996,0.3193,0.1255
ref_00041,-3.5341,-1.6545,0.1402,0.8694,0.1708,0.2256,0.2686,0.122
ref_00042,-3.5234,-2.8119,0.1057,0.9297,0.0985,0.2321,0.2538,0.0828
ref_00043,-2.7794,-2.5437,0.1622,0.8562,0.1392,0.1633,0.2214,0.162
ref_00044,-4.0503,-1.6747,0.1667,0.838,0.1162,0.1835,0.2476,0.178
ref_00045,-4.1609,-2.2947,0.1024,0.9109,0.04,0.195,0.2058,0.105
ref_00046,-3.6946,-2.8424,0.1168,0.9115,0.1402,0.2159,0.2415,0.1307
ref_00047,-2.2961,-2.5393,0.1493,0.8592,0.2043,0.1772,0.251,0.1142
ref_00048,-3.0065,-2.2101,0.0845,0.9188,0.1269,0.145,0.2587,0.0933
ref_00049,-3.3616,-2.1502,0.14,0.8764,0.1268,0.2731,0.3047,0.1898
ref_00050,-4.0323,-2.1769,0.116,0.9287,0.0851,0.2238,0.2796,0.1049
ref_00051,-4.0451,-2.1316,0.094,0.9234,0.1087,0.1652,0.2406,0.1033
ref_00052,-3.5713,-2.333,0.0841,0.9039,0.1098,0.2329,0.2219,0.0521
ref_00053,-3.3701,-2.2245,0.1556,0.8638,0.1446,0.2418,0.2263,0.1594
ref_00054,-3.7671,-2.2243,0.1186,0.9006,0.0833,0.1596,0.2133,0.0949
ref_00055,-3.4103,-1.9289,0.124,0.9011,0.1063,0.2845,0.2664,0.1157
ref_00056,-3.1328,-2.0905,0.1368,0.9463,0.0892,0.2538,0.2469,0.0933
ref_00057,-3.1682,-1.9655,0.1276,0.8772,0.1196,0.1352,0.1878,0.1196
ref_00058,-3.8449,-2.7757,0.1339,0.902,0.0733,0.1519,0.239,0.1507
ref_00059,-3.5472,-2.033,0.1176,0.9041,0.1631,0.16,0.2601,0.1523
ref_00060,-3.4518,-3.1309,0.0691,0.8812,0.063,0.2102,0.2675,0.0857
ref_00061,-2.5098,-2.4899,0.1202,0.8624,0.1806,0.1839,0.2391,0.1482
ref_00062,-3.0872,-2.5821,0.129,0.876,0.1359,0.2352,0.2558,0.0485
ref_00063,-3.8894,-1.9807,0.1051,0.9151,0.1255,0.1829,0.183,0.0
ref_00064,-3.4192,-2.9478,0.0631,0.9297,0.0724,0.2479,0.2538,0.1132
ref_00065,-3.2032,-2.3512,0.1226,0.888,0.183,0.2314,0.2031,0.1451
ref_00066,-3.4415,-1.8407,0.0979,0.8731,0.1162,0.1704,0.2924,0.0619
ref_00067,-3.5636,-2.0749,0.0695,0.9479,0.054,0.1845,0.2868,0.004
ref_00068,-4.3166,-1.9716,0.153,0.9207,0.0499,0.132,0.2417,0.1219
ref_00069,-4.0521,-2.3556,0.1447,0.8731,0.1164,0.2078,0.3197,0.1803
ref_00070,-3.8672,-1.9291,0.1278,0.8913,0.0626,0.1441,0.2678,0.1418
ref_00071,-3.5115,-2.8979,0.0742,0.8785,0.1262,0.1691,0.2961,0.137
ref_00072,-3.1505,-2.0564,0.0834,0.9333,0.0894,0.1455,0.2329,0.1278
ref_00073,-3.9988,-1.9525,0.1405,0.8633,0.1136,0.1947,0.2779,0.1465
ref_00074,-3.4605,-2.1263,0.0919,0.8957,0.061,0.1398,0.207,0.0916
ref_00075,-3.3191,-1.8268,0.1458,0.9193,0.1082,0.1649,0.2481,0.1267
ref_00076,-2.8655,-2.7491,0.1326,0.8785,0.1696,0.1461,0.2024,0.1567
ref_00077,-3.8945,-1.977,0.1195,0.8563,0.127,0.172,0.193,0.1174
ref_00078,-2.8914,-2.2305,0.1691,0.8684,0.1444,0.1608,0.2726,0.1176
ref_00079,-4.2314,-2.7674,0.0762,0.9017,0.0757,0.1798,0.2371,0.1753
ref_00080,-4.1448,-2.6147,0.0744,0.8969,0.0792,0.1179,0.2489,0.1394
ref_00081,-3.1101,-1.9906,0.1158,0.8974,0.146,0.2304,0.2497,0.0862
ref_00082,-4.0704,-1.951,0.1153,0.8952,0.0909,0.1528,0.2716,0.0745
ref_00083,-2.9578,-2.7975,0.1335,0.8988,0.1247,0.1951,0.2071,0.0752
ref_00084,-3.9068,-2.3709,0.0754,0.8897,0.0928,0.2241,0.2629,0.1212
ref_00085,-3.8951,-2.2994,0.1591,0.884,0.0688,0.0609,0.2555,0.1961
ref_00086,-3.3432,-2.9477,0.1035,0.9071,0.0663,0.2189,0.252,0.1049
ref_00087,-2.6817,-2.7947,0.1212,0.9069,0.1507,0.1752,0.2456,0.0588
ref_00088,-3.1641,-2.7579,0.0703,0.9242,0.0988,0.237,0.2673,0.1671
ref_00089,-3.6597,-2.0068,0.0885,0.9057,0.0439,0.1054,0.2991,0.1048
ref_00090,-3.3233,-2.9256,0.0458,0.8995,0.1317,0.1955,0.2054,0.0758
ref_00091,-4.4172,-1.9073,0.1246,0.8987,0.0673,0.1738,0.2297,0.1231
ref_00092,-3.4926,-2.4517,0.0384,0.91,0.1267,0.0886,0.2552,0.054
ref_00093,-3.414,-2.3136,0.0617,0.8767,0.0639,0.015,0.0698,0.033
ref_00094,-4.1469,-2.9604,0.0645,0.9442,0.0736,0.2505,0.2522,0.1474
ref_00095,-3.666,-1.9587,0.0958,0.8772,0.0727,0.2204,0.19,0.0543
ref_00096,-3.2485,-1.6254,0.1547,0.9008,0.1004,0.184,0.241,0.1142
ref_00097,-4.145,-1.8151,0.1037,0.9356,0.0903,0.1872,0.272,0.1442
ref_00098,-3.8229,-1.3033,0.1976,0.9204,0.0964,0.2013,0.2943,0.0954
ref_00099,-3.947,-2.8721,0.0879,0.9146,0.0,0.0812,0.2863,0.1914
ref_00100,-3.7064,-2.7943,0.1241,0.8818,0.1301,0.3192,0.268,0.1231
ref_00101,-4.7394,-2.1951,0.1424,0.9142,0.0381,0.2494,0.2453,0.153
ref_00102,-3.1721,-2.0868,0.0828,0.8963,0.0843,0.2481,0.2576,0.0884
ref_00103,-3.3853,-2.229,0.1092,0.8588,0.1474,0.2328,0.2113,0.1875
ref_00104,-3.71,-2.341,0.0892,0.916,0.1104,0.1928,0.262,0.1004
ref_00105,-2.9559,-2.804,0.1077,0.8613,0.1471,0.0882,0.2435,0.0983
ref_00106,-2.701,-2.5876,0.151,0.8762,0.2227,0.1963,0.2294,0.0782
ref_00107,-3.2951,-2.3224,0.1642,0.8751,0.1526,0.0507,0.2731,0.1147
ref_00108,-3.3141,-1.9409,0.1192,0.881,0.1423,0.1898,0.2902,0.1214
ref_00109,-3.7916,-2.649,0.0863,0.9216,0.1126,0.1089,0.2012,0.1458
ref_00110,-4.0206,-2.0311,0.115,0.887,0.0962,0.2419,0.2684,0.2146
ref_00111,-3.2652,-2.9404,0.0714,0.9067,0.1398,0.2674,0.2852,0.125
ref_00112,-2.9994,-1.5405,0.1534,0.8651,0.1206,0.2294,0.2374,0.1459
ref_00113,-2.9579,-2.9881,0.0544,0.8788,0.1541,0.2344,0.2126,0.1199
ref_00114,-3.3224,-2.1932,0.1669,0.9005,0.0841,0.2018,0.271,0.1282
ref_00115,-3.0927,-2.885,0.0496,0.8578,0.1543,0.1732,0.2826,0.1176
ref_00116,-3.259,-2.7779,0.1169,0.882,0.1088,0.223,0.2856,0.084
ref_00117,-3.3826,-1.5937,0.1538,0.9045,0.0862,0.1569,0.2138,0.1951
ref_00118,-3.9222,-1.6655,0.1579,0.8808,0.0982,0.297,0.2723,0.1422
ref_00119,-3.2574,-1.923,0.1346,0.8975,0.0976,0.1426,0.2246,0.1763
ref_00120,-4.4534,-2.5106,0.1738,0.908,0.0646,0.1697,0.2713,0.1642
ref_00121,-3.3542,-2.4153,0.0093,0.8878,0.0608,0.1019,0.2608,0.1012
ref_00122,-3.5603,-1.6489,0.1521,0.925,0.1258,0.2548,0.2179,0.1037
ref_00123,-3.6587,-1.9573,0.1291,0.8666,0.1202,0.1946,0.1949,0.0803
ref_00124,-3.5565,-2.3954,0.1316,0.9209,0.1404,0.2125,0.3032,0.1285
ref_00125,-3.3502,-2.5695,0.0942,0.9556,0.0748,0.2185,0.2739,0.089
ref_00126,-3.8857,-2.1469,0.0965,0.8838,0.1006,0.1177,0.2283,0.0578
ref_00127,-3.395,-2.6039,0.1169,0.9147,0.1432,0.1734,0.28,0.1962
ref_00128,-2.0609,-1.8068,0.1473,0.8742,0.2176,0.2605,0.2719,0.0911
ref_00129,-2.9972,-2.1889,0.1432,0.941,0.1022,0.036,0.2999,0.1083
ref_00130,-3.0032,-2.0279,0.1483,0.8657,0.1448,0.1681,0.2458,0.1775
ref_00131,-2.4041,-1.6602,0.1622,0.8601,0.1849,0.1478,0.2635,0.0085
ref_00132,-2.5985,-2.1675,0.1574,0.8715,0.1628,0.1766,0.2739,0.1786
ref_00133,-3.2132,-2.205,0.1368,0.9248,0.1152,0.1483,0.2762,0.1562
ref_00134,-3.3005,-2.3902,0.1057,0.8978,0.1642,0.2328,0.288,0.0618
ref_00135,-4.512,-1.8249,0.1001,0.8851,0.0503,0.2607,0.2803,0.0666
ref_00136,-3.7362,-2.0739,0.1384,0.9094,0.1098,0.1984,0.1964,0.0335
ref_00137,-2.7788,-1.8507,0.1397,0.8769,0.1661,0.1935,0.2714,0.1015
ref_00138,-3.2706,-1.7795,0.1391,0.8804,0.1774,0.2149,0.2866,0.2001
ref_00139,-3.9794,-3.0009,0.0735,0.9097,0.1093,0.1892,0.1543,0.0936
ref_00140,-3.908,-2.4849,0.0681,0.9053,0.1143,0.2122,0.2734,0.1287
ref_00141,-4.597,-2.1552,0.1002,1.0,0.0465,0.1942,0.2624,0.1027
ref_00142,-3.9826,-1.6601,0.188,0.8955,0.1148,0.151,0.2335,0.0827
ref_00143,-4.4216,-1.6727,0.1414,0.9109,0.0319,0.256,0.1971,0.1035
ref_00144,-4.2075,-1.899,0.1651,0.9129,0.0909,0.1766,0.2398,0.0971
ref_00145,-3.5446,-2.4763,0.1046,0.913,0.1675,0.0831,0.2257,0.1114
ref_00146,-2.8944,-2.5859,0.065,0.897,0.1188,0.2403,0.1601,0.099
ref_00147,-3.5013,-3.0079,0.0658,0.8718,0.1205,0.24,0.252,0.1154
ref_00148,-3.5329,-2.5667,0.0909,0.8858,0.1132,0.2141,0.2075,0.0873
ref_00149,-3.4454,-2.082,0.1116,0.9101,0.1374,0.1225,0.1994,0.0957
ref_00150,-4.4562,-1.9571,0.0975,0.9049,0.0409,0.1303,0.2063,0.1055
ref_00151,-4.0285,-3.109,0.0231,0.8968,0.0372,0.1266,0.1788,0.1128
ref_00152,-4.079,-2.783,0.1065,0.8959,0.0851,0.1376,0.1798,0.1152
ref_00153,-2.9043,-2.7903,0.0908,0.9042,0.1294,0.2329,0.2341,0.0655
ref_00154,-3.4794,-2.2663,0.1378,0.8933,0.0739,0.2881,0.2878,0.1585
ref_00155,-2.3492,-2.3624,0.1682,0.8732,0.2108,0.2369,0.277,0.1883
ref_00156,-3.9322,-2.8854,0.1163,0.9031,0.1119,0.1895,0.2597,0.1857
ref_00157,-3.0577,-2.0856,0.1603,0.8806,0.1483,0.1971,0.2473,0.146
ref_00158,-4.023,-2.1365,0.1163,0.9447,0.0717,0.1789,0.1771,0.0107
ref_00159,-3.4221,-2.1945,0.1293,0.9175,0.0983,0.0611,0.2365,0.1431
ref_00160,-3.7716,-2.617,0.1398,0.9102,0.0635,0.17,0.2932,0.0871
ref_00161,-3.6511,-2.4625,0.1403,0.916,0.0782,0.1606,0.2607,0.1256
ref_00162,-3.4476,-1.6226,0.1402,0.861,0.1534,0.2148,0.2146,0.1521
ref_00163,-3.0811,-2.6193,0.074,0.8962,0.1126,0.3133,0.2031,0.0974
ref_00164,-3.2935,-1.725,0.1612,0.8935,0.1438,0.1937,0.2673,0.1383
ref_00165,-3.6863,-2.2734,0.0588,0.8969,0.0855,0.1784,0.2413,0.0515
ref_00166,-3.6322,-2.4223,0.1285,0.8737,0.1165,0.2325,0.2908,0.0938
ref_00167,-3.2056,-2.9591,0.0943,0.8673,0.1073,0.1379,0.2108,0.0986
ref_00168,-3.0862,-1.8342,0.1083,0.8983,0.1528,0.2243,0.2727,0.063
ref_00169,-4.0512,-2.4167,0.0376,0.8795,0.088,0.0743,0.2551,0.0704
ref_00170,-3.5326,-1.6972,0.1196,0.8954,0.0841,0.2865,0.3173,0.1062
ref_00171,-4.5666,-2.5381,0.0672,0.9437,0.0502,0.2484,0.2228,0.1577
ref_00172,-3.8448,-2.734,0.0778,0.8945,0.112,0.2338,0.3004,0.2201
ref_00173,-3.0697,-2.7112,0.0942,0.8774,0.1942,0.2401,0.2427,0.1009
ref_00174,-4.028,-1.5847,0.145,0.8843,0.0701,0.2057,0.2276,0.1726
ref_00175,-3.7158,-2.2853,0.1447,0.884,0.0944,0.1466,0.2056,0.2014
ref_00176,-3.3422,-2.3088,0.065,0.9532,0.1105,0.1682,0.1907,0.0604
ref_00177,-3.0415,-2.1144,0.1123,0.9509,0.1383,0.1434,0.2299,0.0818
ref_00178,-3.7761,-2.6073,0.1315,0.9247,0.1304,0.1205,0.2155,0.133
ref_00179,-3.1289,-2.231,0.1295,0.9207,0.1245,0.1053,0.2715,0.06
ref_00180,-4.7495,-3.0589,0.0857,0.9145,0.0361,0.1358,0.2807,0.0621
ref_00181,-3.5082,-2.5339,0.1203,0.9171,0.1105,0.264,0.2724,0.115
ref_00182,-3.0042,-2.2594,0.1715,0.873,0.1822,0.2469,0.3235,0.1447
ref_00183,-3.2436,-2.7649,0.1075,0.8743,0.1012,0.194,0.244,0.1428
ref_00184,-2.9236,-2.1334,0.1228,0.8596,0.1552,0.1727,0.1879,0.1198
ref_00185,-3.5569,-2.7425,0.1241,0.9104,0.0897,0.0861,0.211,0.0495
ref_00186,-2.9351,-1.7701,0.1784,0.8749,0.154,0.1916,0.2759,0.0811
ref_00187,-4.1422,-2.2529,0.128,0.857,0.1057,0.2339,0.3393,0.1404
ref_00188,-4.3088,-2.7007,0.1193,0.9156,0.0539,0.0945,0.1787,0.1237
ref_00189,-4.0975,-2.9012,0.0592,0.9216,0.0259,0.1883,0.2077,0.0693
ref_00190,-3.5977,-1.2264,0.2335,0.8751,0.1602,0.2223,0.2846,0.1692
ref_00191,-3.6834,-2.2608,0.061,0.9585,0.0464,0.1326,0.1765,0.0486
ref_00192,-4.6323,-2.0592,0.1104,0.9617,0.0188,0.0129,0.2307,0.0439
ref_00193,-3.4133,-2.5891,0.1322,0.8862,0.1066,0.36,0.3168,0.1664
ref_00194,-4.372,-2.0616,0.217,0.8489,0.0649,0.2963,0.2905,0.169
ref_00195,-2.1483,-2.7043,0.129,0.8644,0.2261,0.1565,0.2382,0.1141
ref_00196,-2.9159,-1.6546,0.1417,0.872,0.1247,0.1969,0.2214,0.0821
ref_00197,-3.7388,-2.2523,0.1447,0.9188,0.094,0.1827,0.2785,0.0678
ref_00198,-3.3645,-1.8784,0.1117,0.8885,0.1269,0.1876,0.241,0.1428
ref_00199,-3.8027,-1.9628,0.0861,0.9316,0.0799,0.1045,0.224,0.1445
ref_00200,-3.3537,-1.5992,0.1638,0.9255,0.1299,0.1529,0.2865,0.0706
ref_00201,-4.1293,-2.0633,0.1449,0.8782,0.1022,0.2447,0.2704,0.148
ref_00202,-2.256,-1.9715,0.136,0.8801,0.1877,0.234,0.2549,0.1858
ref_00203,-4.5652,-3.0067,0.0748,0.9236,0.0343,0.1793,0.2297,0.0635
ref_00204,-3.0595,-2.3358,0.1015,0.8854,0.0955,0.2082,0.275,0.0931
ref_00205,-3.1811,-1.9607,0.1187,0.8444,0.1818,0.1769,0.2625,0.1368
ref_00206,-3.0931,-2.3516,0.1391,0.8824,0.1339,0.184,0.2654,0.1257
ref_00207,-3.6394,-3.302,0.0191,0.8946,0.0987,0.2262,0.2294,0.0558
ref_00208,-3.4674,-2.3491,0.0886,0.8844,0.104,0.1563,0.1978,0.1285
ref_00209,-3.477,-1.5547,0.1728,0.9005,0.1011,0.1682,0.2837,0.1617
ref_00210,-3.0187,-2.4915,0.0844,0.8806,0.1399,0.1391,0.2715,0.1454
ref_00211,-4.0044,-1.5188,0.1924,0.8895,0.0795,0.2313,0.2657,0.118
ref_00212,-2.5622,-1.9146,0.1646,0.8341,0.1491,0.2708,0.2591,0.1096
ref_00213,-2.518,-2.8933,0.1104,0.845,0.1822,0.1293,0.2712,0.1092
ref_00214,-4.3766,-2.5724,0.0615,0.9248,0.0543,0.2089,0.2585,0.0789
ref_00215,-3.8234,-2.7815,0.0519,0.9095,0.0948,0.1712,0.2535,0.0925
ref_00216,-3.017,-1.7672,0.1552,0.8509,0.1708,0.3615,0.2717,0.2647
ref_00217,-2.9685,-1.6954,0.1376,0.8831,0.1596,0.2525,0.2758,0.0865
ref_00218,-3.4494,-2.1944,0.1462,0.8626,0.1333,0.2921,0.2902,0.1974
ref_00219,-3.084,-1.7282,0.1654,0.9164,0.0951,0.2678,0.2943,0.1517
ref_00220,-4.3779,-2.6001,0.1579,0.9398,0.0716,0.2027,0.2764,0.1067
ref_00221,-4.1089,-2.209,0.0664,0.9481,0.0238,0.0352,0.2277,0.0052
ref_00222,-4.0678,-2.2626,0.1141,0.9537,0.114,0.2478,0.2363,0.1766
ref_00223,-4.1369,-1.8165,0.1676,0.9364,0.0435,0.213,0.2385,0.1223
ref_00224,-2.3101,-2.257,0.1302,0.8805,0.1838,0.2614,0.2323,0.0909
ref_00225,-4.6827,-2.0432,0.1187,0.9503,0.0354,0.1842,0.2576,0.1136
ref_00226,-4.0058,-2.6264,0.0,0.909,0.1088,0.1459,0.2825,0.1106
ref_00227,-3.2759,-3.2066,0.0585,0.8933,0.0867,0.0223,0.223,0.0046
ref_00228,-4.1353,-2.6222,0.1449,0.8934,0.1019,0.0803,0.2573,0.1106
ref_00229,-3.9048,-2.7671,0.1323,0.9631,0.1093,0.0,0.1878,0.0847
ref_00230,-3.977,-2.4084,0.0535,0.8965,0.1113,0.1979,0.2333,0.1392
ref_00231,-2.7212,-2.3494,0.1589,0.8961,0.1592,0.2298,0.2868,0.1786
ref_00232,-2.8282,-1.9438,0.12,0.8804,0.1833,0.162,0.2167,0.0999
ref_00233,-4.1857,-2.4997,0.0778,0.9434,0.0434,0.1424,0.27,0.0427
ref_00234,-3.1614,-1.8844,0.1416,0.898,0.1046,0.1734,0.2811,0.0939
ref_00235,-2.9125,-1.7172,0.1421,0.8814,0.112,0.2412,0.2752,0.1396
ref_00236,-3.8986,-2.2646,0.1227,0.8749,0.1151,0.2285,0.2247,0.1008
ref_00237,-3.4978,-3.0202,0.0931,0.9005,0.0835,0.2099,0.2552,0.0593
ref_00238,-4.179,-2.9006,0.0426,0.8955,0.0928,0.1372,0.2631,0.0896
ref_00239,-3.0556,-2.2386,0.1248,0.8823,0.1039,0.1496,0.254,0.078
ref_00240,3.0998,0.2167,0.5372,0.4148,0.8579,0.8592,0.2854,0.509
ref_00241,2.8137,0.9459,0.6169,0.3989,0.841,0.8604,0.2419,0.4079
ref_00242,2.7424,0.0699,0.5752,0.428,0.8029,0.8688,0.2129,0.5676
ref_00243,3.0514,-0.1925,0.5614,0.4173,0.8291,0.8911,0.2284,0.5387
ref_00244,2.8946,0.2557,0.5076,0.3954,0.8668,0.8804,0.2217,0.5978
ref_00245,4.0004,0.4561,0.5391,0.3762,0.8824,0.8403,0.1908,0.5021
ref_00246,3.6888,0.0277,0.5703,0.4141,0.8864,0.9414,0.2887,0.5878
ref_00247,3.5838,1.1247,0.6301,0.397,0.8812,0.8813,0.2415,0.538
ref_00248,3.1935,0.3481,0.552,0.4431,0.812,0.9331,0.2716,0.4758
ref_00249,2.6162,0.1244,0.5196,0.463,0.8106,0.8626,0.1811,0.4238
ref_00250,2.9076,1.0161,0.5763,0.4306,0.8408,0.8875,0.2463,0.5394
ref_00251,3.6454,0.7433,0.5912,0.4197,0.8601,0.8986,0.2245,0.6012
ref_00252,3.3065,0.9076,0.5796,0.4229,0.8377,0.8586,0.2418,0.5223
ref_00253,3.8075,0.6629,0.571,0.3859,0.8619,0.8704,0.2897,0.534
ref_00254,3.3853,0.4899,0.574,0.4401,0.8209,0.8654,0.3169,0.4787
ref_00255,2.8438,0.1978,0.5163,0.4006,0.8672,0.941,0.2324,0.4692
ref_00256,3.1448,0.3322,0.6313,0.3721,0.8908,0.8995,0.3036,0.5786
ref_00257,2.3598,0.6084,0.5443,0.4646,0.7852,0.8315,0.1999,0.4974
ref_00258,4.1592,-0.0633,0.5437,0.4467,0.9064,0.7749,0.201,0.4758
ref_00259,2.1704,0.5805,0.6034,0.4489,0.7849,0.9265,0.3159,0.5944
ref_00260,3.273,0.5614,0.5845,0.426,0.8396,0.9405,0.274,0.5236
ref_00261,3.7659,0.9733,0.6414,0.3614,0.9249,0.9057,0.2573,0.5159
ref_00262,2.8985,-0.1649,0.5629,0.4287,0.8887,0.8545,0.2382,0.5719
ref_00263,4.3668,0.8361,0.6062,0.3778,0.9273,0.9806,0.2365,0.5296
ref_00264,2.9542,0.0603,0.573,0.4139,0.8446,0.8611,0.2051,0.6035
ref_00265,3.3216,1.086,0.6041,0.4104,0.8354,0.8494,0.217,0.4652
ref_00266,2.8648,0.7049,0.5769,0.4597,0.8098,0.9359,0.2034,0.4765
ref_00267,2.3328,1.156,0.6375,0.383,0.8136,0.8217,0.2397,0.5506
ref_00268,3.1545,-0.1702,0.5147,0.4362,0.8332,0.815,0.1891,0.4989
ref_00269,3.3501,0.2298,0.5993,0.4328,0.8587,0.9246,0.2614,0.5527
ref_00270,3.293,1.0217,0.5762,0.3848,0.9207,0.9246,0.2347,0.5628
ref_00271,3.3754,0.036,0.5357,0.4598,0.8366,0.9138,0.2545,0.4901
ref_00272,2.9994,-0.3719,0.4635,0.3682,0.8884,0.8831,0.2196,0.4928
ref_00273,3.1274,0.4881,0.5715,0.4148,0.8628,0.9174,0.273,0.481
ref_00274,3.4361,0.0642,0.528,0.4096,0.849,0.8927,0.2013,0.5022
ref_00275,2.8861,0.0726,0.4786,0.4487,0.8467,0.8879,0.1799,0.498
ref_00276,3.3722,-0.4684,0.5212,0.3714,0.85,0.7758,0.2636,0.656
ref_00277,3.8015,0.7923,0.5499,0.3902,0.8978,0.7567,0.2291,0.534
ref_00278,4.0885,0.4956,0.6025,0.3768,0.8967,0.9558,0.2511,0.5332
ref_00279,3.2316,0.667,0.5591,0.3897,0.9047,0.8599,0.2947,0.5367
ref_00280,3.0659,0.9275,0.562,0.4203,0.7943,0.9322,0.3098,0.5115
ref_00281,3.135,0.6161,0.5962,0.4207,0.8116,0.9934,0.2506,0.5391
ref_00282,3.1971,-0.2882,0.5513,0.3823,0.8915,0.9688,0.2726,0.5365
ref_00283,3.6216,1.0336,0.6326,0.3787,0.9306,0.7601,0.2151,0.5681
ref_00284,4.0196,0.1491,0.5692,0.3822,0.8811,0.9205,0.2803,0.53
ref_00285,3.0924,0.2152,0.5179,0.4403,0.8034,0.9041,0.2581,0.5087
ref_00286,3.4742,0.5067,0.6406,0.3823,0.9059,0.9144,0.2662,0.5241
ref_00287,3.538,0.7924,0.5436,0.3991,0.8459,0.8823,0.2811,0.467
ref_00288,3.2845,-0.0346,0.5676,0.4186,0.811,0.9314,0.2502,0.5145
ref_00289,3.3988,0.9177,0.5916,0.4391,0.8437,0.9634,0.2591,0.5562
ref_00290,3.5421,0.4964,0.5993,0.3666,0.9195,0.8581,0.1709,0.5611
ref_00291,4.1063,0.9437,0.5692,0.3842,0.8967,0.9451,0.2594,0.4656
ref_00292,3.9623,0.4645,0.6301,0.349,0.9589,0.9752,0.242,0.5778
ref_00293,3.4174,-0.2926,0.5479,0.3993,0.8698,0.912,0.2081,0.4896
ref_00294,3.5416,0.7542,0.6592,0.3768,0.8434,0.9728,0.2654,0.6094
ref_00295,3.2173,0.9254,0.6,0.3891,0.8505,0.9087,0.255,0.4792
