cell,cell_type,tex_state,species,modality,study
ref_00030,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00031,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00032,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00033,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00034,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00035,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00036,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00037,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00038,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00039,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00040,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00041,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00042,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00043,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00044,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00045,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00046,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00047,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00048,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00049,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00050,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00051,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00052,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00053,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00054,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00055,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00056,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00057,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00058,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00059,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00060,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00061,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00062,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00063,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00064,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00065,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00066,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00067,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00068,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00069,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00070,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00071,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00072,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00073,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00074,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00075,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00076,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00077,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00078,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00079,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00080,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00081,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00082,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00083,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00084,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00085,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00086,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00087,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00088,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00089,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00090,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00091,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00092,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00093,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00094,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00095,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00096,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00097,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00098,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00099,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00100,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00101,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00102,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00103,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00104,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00105,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00106,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00107,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00108,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00109,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00110,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00111,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00112,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00113,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00114,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00115,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00116,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00117,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00118,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00119,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00120,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00121,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00122,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00123,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00124,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00125,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00126,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00127,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00128,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00129,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00130,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00131,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00132,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00133,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00134,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00135,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00136,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00137,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00138,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00139,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00140,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00141,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00142,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00143,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00144,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00145,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00146,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00147,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00148,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00149,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00150,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00151,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00152,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00153,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00154,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00155,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00156,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00157,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00158,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00159,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00160,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00161,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00162,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00163,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00164,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00165,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00166,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00167,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00168,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00169,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00170,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00171,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00172,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00173,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00174,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00175,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00176,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00177,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00178,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00179,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00180,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00181,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00182,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00183,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00184,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00185,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00186,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00187,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00188,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00189,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00190,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00191,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00192,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00193,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00194,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00195,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00196,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00197,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00198,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00199,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00200,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00201,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00202,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00203,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00204,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00205,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00206,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00207,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00208,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00209,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00210,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00211,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00212,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00213,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00214,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00215,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00216,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00217,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00218,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00219,Naive/Memory,Naive/Memory,mouse,scRNA,CART_relapse_2024
ref_00220,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00221,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00222,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00223,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00224,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00225,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00226,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00227,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00228,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00229,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00230,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00231,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00232,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00233,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00234,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00235,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00236,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00237,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00238,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00239,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00240,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00241,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00242,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00243,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00244,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00245,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00246,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00247,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00248,Effector,Effector,human,scRNA,HCC_human_2024
ref_00249,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00250,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00251,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00252,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00253,Effector,Effector,human,scRNA,HCC_human_2024
ref_00254,Effector,Effector,human,scRNA,HCC_human_2024
ref_00255,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00256,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00257,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00258,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00259,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00260,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00261,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00262,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00263,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00264,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00265,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00266,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00267,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00268,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00269,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00270,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00271,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00272,Effector,Effector,human,scRNA,HCC_human_2024
ref_00273,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00274,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00275,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00276,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00277,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00278,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00279,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00280,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00281,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00282,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00283,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00284,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00285,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00286,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00287,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00288,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00289,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00290,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00291,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00292,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00293,Effector,Effector,human,scRNA,HCC_human_2024
ref_00294,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00295,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00296,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00297,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00298,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00299,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00300,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00301,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00302,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00303,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00304,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00305,Effector,Effector,human,scRNA,HCC_human_2024
ref_00306,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00307,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00308,Effector,Effector,human,scRNA,HCC_human_2024
ref_00309,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00310,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00311,Effector,Effector,human,scRNA,HCC_human_2024
ref_00312,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00313,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00314,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00315,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00316,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00317,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00318,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00319,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00320,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00321,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00322,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00323,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00324,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00325,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00326,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00327,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00328,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00329,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00330,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00331,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00332,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00333,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00334,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00335,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00336,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00337,Effector,Effector,human,scRNA,HCC_human_2024
ref_00338,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00339,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00340,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00341,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00342,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00343,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00344,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00345,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00346,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00347,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00348,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00349,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00350,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00351,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00352,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00353,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00354,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00355,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00356,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00357,Effector,Effector,human,scRNA,HCC_human_2024
ref_00358,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00359,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00360,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00361,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00362,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00363,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00364,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00365,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00366,Effector,Effector,mouse,scRNA,B16_tumor_2022
