cell,BACH2,BATF,BIRC5,CCR7,CD160,CDK1,CTLA4,CX3CR1,DNMT3A,EGR2,ENTPD1,GNLY,GZMB,GZMK,HAVCR2,IFNG,IKZF2,IL7R,KLRD1,KLRG1,LAG3,LEF1,MKI67,NKG7,NR4A1,NR4A2,NR4A3,PCNA,PDCD1,PRDM1,PRF1,SELL,SLAMF6,STMN1,TBX21,TCF7,TIGIT,TOP2A,TOX
ref_00014,6.514,3.432,3.432,6.345,3.827,3.827,3.432,3.827,3.432,3.432,3.432,3.432,3.827,3.827,3.432,3.827,3.432,6.696,3.827,3.827,3.827,6.97,3.827,3.432,3.827,3.827,4.109,3.432,4.109,3.827,3.827,6.785,6.109,3.827,3.827,6.371,3.827,3.827,3.432
ref_00015,6.2,3.948,3.552,6.616,3.948,3.552,3.552,3.552,3.552,3.948,3.948,3.552,3.948,3.552,3.552,3.948,3.948,6.723,3.948,3.552,3.552,6.763,3.552,3.552,2.888,3.552,3.552,3.552,3.552,3.948,3.552,6.942,5.968,3.552,3.552,6.909,3.552,3.948,3.552
ref_00016,5.942,3.881,3.486,6.873,3.486,3.881,3.486,4.163,3.486,3.486,4.163,3.486,3.486,3.881,3.881,3.486,3.486,7.106,3.881,3.881,4.163,6.26,3.486,3.486,3.486,3.881,2.823,3.881,4.163,3.486,3.486,6.401,6.022,3.881,3.881,6.982,3.881,3.881,3.881
ref_00017,6.341,3.309,3.702,6.587,4.203,3.702,3.702,3.702,3.702,3.702,3.309,3.983,3.309,3.702,3.702,3.702,3.309,6.936,3.702,3.983,4.203,6.046,4.203,3.702,3.702,3.309,3.702,3.983,3.702,3.702,3.983,6.986,6.318,3.309,3.702,6.87,3.702,3.309,3.983
ref_00018,6.46,3.072,3.072,6.427,3.072,3.072,3.072,3.741,3.741,3.072,3.072,3.741,3.741,3.072,3.072,3.741,3.072,6.552,3.741,3.072,3.072,6.204,3.741,3.072,3.741,3.072,3.741,3.741,3.741,3.741,3.072,6.739,5.86,3.741,3.741,6.786,3.741,3.072,3.741
ref_00019,6.619,3.887,3.492,6.863,2.829,3.492,3.887,3.492,3.492,3.492,3.887,3.887,3.492,3.492,3.492,2.829,3.887,6.739,3.492,3.492,3.887,5.989,2.829,3.887,3.492,2.829,3.887,2.829,3.492,3.492,3.492,6.701,6.266,3.492,3.887,7.059,3.887,3.492,3.492
ref_00020,6.596,3.318,3.318,6.056,3.711,3.993,3.711,3.318,3.993,3.318,3.318,3.318,3.711,3.993,3.318,3.711,3.711,6.666,3.993,3.711,3.993,6.683,3.318,3.993,3.711,3.993,3.318,3.318,3.318,3.711,3.993,7.019,6.086,3.711,3.318,7.007,3.711,3.711,3.318
ref_00021,6.108,3.965,3.569,7.023,3.965,3.965,3.569,3.569,3.965,3.569,3.965,3.569,3.569,3.965,4.248,4.248,3.569,6.72,3.965,3.569,3.569,6.837,2.904,3.569,3.569,3.569,3.569,3.965,4.248,3.569,3.965,6.562,6.182,3.569,3.965,6.909,3.965,3.569,4.248
ref_00022,6.223,3.906,3.906,6.502,3.906,4.189,3.906,3.511,3.906,3.511,3.511,3.906,3.906,3.511,3.511,3.906,3.906,6.849,3.511,3.511,3.511,6.426,4.189,3.511,3.906,3.511,3.511,3.906,3.906,3.906,3.511,6.617,6.7,3.511,3.906,6.849,3.906,3.906,3.906
ref_00023,6.767,3.415,3.809,6.784,3.809,3.809,4.091,3.809,3.809,3.809,3.809,3.809,4.091,3.415,3.809,3.415,4.091,6.54,3.809,3.415,3.415,6.496,3.809,4.091,3.809,3.415,3.415,3.809,3.415,3.415,3.809,7.096,5.949,3.415,4.091,7.2,3.809,3.415,3.809
ref_00024,6.722,3.531,3.927,6.448,3.927,3.531,3.927,3.531,4.21,3.531,4.21,4.21,3.927,3.927,3.531,3.927,3.927,6.523,2.867,3.927,2.867,6.853,3.531,3.927,3.531,3.531,3.531,3.927,3.927,3.531,3.927,6.394,6.548,3.531,3.927,6.594,3.531,2.867,3.927
ref_00025,6.191,3.689,3.689,6.23,3.689,3.689,3.02,3.689,3.689,3.689,3.689,3.689,3.689,3.689,3.689,3.02,3.689,6.191,3.02,3.02,3.689,6.063,3.689,3.689,3.02,3.689,3.689,3.02,3.02,3.689,3.689,6.96,6.15,3.689,3.02,6.468,3.689,3.02,3.02
ref_00026,6.348,3.664,3.664,6.557,3.664,3.664,3.664,2.996,3.664,2.996,3.664,3.664,3.664,3.664,3.664,3.664,3.664,6.838,4.061,2.996,3.664,6.279,2.996,3.664,3.664,3.664,2.996,4.061,2.996,3.664,3.664,6.753,5.892,3.664,3.664,6.817,3.664,2.996,2.996
ref_00027,6.007,4.076,3.399,7.043,3.399,3.794,3.794,3.794,4.076,3.399,3.794,3.399,4.076,3.399,3.399,3.399,4.076,7.055,3.399,3.794,3.794,6.625,3.794,3.794,3.399,3.794,3.794,3.399,4.295,3.794,3.794,6.435,5.72,3.399,3.794,6.644,3.399,4.076,3.794
ref_00028,6.527,4.258,3.362,6.966,3.362,3.756,3.756,4.258,3.756,3.362,3.756,3.362,3.756,4.038,3.756,3.756,3.362,6.191,3.362,3.362,4.038,6.162,3.756,3.362,3.756,3.756,4.038,4.258,3.756,3.756,4.258,7.017,6.729,3.362,4.038,7.077,3.362,3.756,4.258
ref_00029,6.237,3.952,3.556,6.499,3.952,3.952,3.952,3.952,3.952,3.556,3.952,3.556,3.952,3.952,3.556,2.891,3.556,6.391,2.891,3.952,3.556,6.269,3.952,3.952,3.952,3.556,3.952,4.235,3.952,4.235,3.952,6.549,6.685,3.556,4.235,7.024,4.235,3.952,3.556
ref_00030,6.524,4.163,3.881,6.695,3.486,3.881,3.486,3.486,3.881,3.881,3.486,3.881,4.163,3.486,3.881,3.486,3.881,6.613,3.881,3.486,4.163,6.84,3.881,4.163,3.881,4.163,3.881,3.486,3.486,3.486,3.881,6.84,6.675,4.163,3.881,6.752,3.881,3.486,3.486
ref_00031,5.781,3.664,4.061,6.707,2.996,3.664,2.996,3.664,4.061,3.664,2.996,3.664,3.664,3.664,3.664,3.664,3.664,6.473,3.664,3.664,3.664,6.935,3.664,3.664,3.664,4.061,4.061,3.664,3.664,4.061,3.664,6.412,6.473,3.664,4.061,6.878,3.664,3.664,3.664
ref_00032,6.375,4.22,3.937,6.347,4.22,3.937,3.541,3.541,2.876,3.541,3.937,3.541,3.937,3.541,3.937,3.937,3.937,6.188,3.937,2.876,3.541,6.626,3.541,4.22,3.541,3.541,4.22,4.22,3.937,3.541,3.541,6.458,6.404,3.937,4.22,6.581,4.22,3.937,4.22
ref_00033,6.039,3.431,4.107,6.749,3.431,3.825,3.825,3.431,4.107,3.825,3.825,4.107,3.431,3.825,3.825,3.825,4.107,7.087,3.431,3.825,3.825,6.42,3.825,3.825,3.431,3.431,3.825,3.431,4.107,3.431,3.431,7.023,5.752,3.825,3.825,6.556,3.825,3.825,3.825
ref_00034,6.306,3.447,3.447,6.748,3.447,3.841,4.124,3.447,3.841,4.344,3.447,3.447,3.447,3.447,3.841,3.447,4.124,6.912,4.124,3.841,3.841,6.748,4.124,3.841,3.447,3.447,3.447,3.841,3.447,3.841,3.447,6.73,6.551,3.447,3.447,6.971,3.447,4.124,3.447
ref_00035,6.328,4.213,3.319,6.441,3.319,3.712,3.712,3.994,3.712,3.712,3.712,3.994,3.319,3.319,3.712,4.213,3.712,6.598,3.712,3.712,4.213,6.947,3.712,3.994,3.994,3.994,3.712,4.213,3.319,3.712,3.319,6.375,6.651,3.994,3.712,6.997,3.319,3.994,3.994
ref_00036,6.197,3.776,3.776,6.75,3.106,3.776,3.776,3.776,4.174,3.106,4.174,3.106,3.776,3.776,3.776,4.174,3.106,7.121,3.776,4.174,3.106,6.058,4.174,3.106,3.776,3.106,3.106,3.776,3.776,3.776,3.776,6.558,6.007,3.776,3.776,6.75,3.106,4.174,3.776
ref_00037,5.918,3.954,3.954,6.992,3.954,3.673,3.954,4.173,3.954,3.28,3.954,3.673,3.954,3.954,4.173,3.673,3.673,6.931,3.673,3.28,3.673,6.919,3.954,3.28,3.28,3.673,3.954,3.954,3.673,4.173,3.673,6.867,6.047,4.173,3.28,6.88,3.28,3.673,3.954
ref_00038,6.256,3.32,3.714,6.504,3.32,3.32,3.714,3.995,3.32,3.32,3.32,4.215,3.32,3.32,3.995,3.32,3.714,6.617,3.714,3.32,3.32,6.543,3.32,3.32,3.32,4.215,3.714,3.714,3.714,3.32,3.714,6.909,6.75,3.995,3.32,6.635,3.32,3.714,3.995
ref_00039,6.72,3.64,3.247,7.11,3.921,3.247,3.64,4.14,3.921,3.247,3.64,3.64,3.64,3.64,3.64,3.921,3.64,6.922,3.247,3.64,3.64,6.301,3.921,3.247,3.64,4.14,3.64,3.64,3.247,3.64,3.247,6.523,6.278,3.921,3.64,6.97,3.64,3.64,3.921
ref_00040,6.92,3.895,4.178,6.627,3.895,3.5,3.895,4.178,3.5,3.895,3.895,4.178,3.895,4.178,4.178,3.895,4.398,7.053,3.895,3.895,3.5,6.361,4.398,3.5,3.895,3.895,3.895,3.895,3.895,4.398,3.895,6.515,6.466,3.895,4.178,6.627,4.398,3.895,4.178
ref_00041,6.422,3.852,3.852,6.722,3.852,4.134,3.852,3.852,3.457,4.134,3.852,3.852,4.134,3.457,3.457,3.457,3.457,6.604,3.457,3.457,3.457,6.665,3.457,4.134,3.457,3.852,3.457,3.457,3.457,3.852,3.852,6.86,5.87,3.457,3.852,6.23,3.457,4.134,3.457
ref_00042,6.46,3.681,3.681,7.058,3.013,3.013,4.078,3.013,3.681,3.681,3.681,4.078,3.013,3.681,3.681,4.078,3.013,6.222,3.681,3.681,3.013,6.331,3.681,3.681,3.681,3.681,3.681,4.078,3.681,3.681,3.681,6.971,6.398,3.681,4.078,6.814,3.681,4.078,3.681
ref_00043,6.55,4.054,2.989,6.522,3.657,3.657,3.657,3.657,4.054,4.054,4.054,3.657,3.657,4.054,3.657,3.657,4.337,6.373,3.657,4.054,4.054,6.158,4.054,3.657,4.054,3.657,3.657,4.054,2.989,4.054,2.989,6.628,6.075,3.657,2.989,6.927,4.054,2.989,3.657
ref_00044,6.095,3.635,3.635,6.175,4.032,4.032,3.635,2.968,3.635,4.315,4.032,3.635,4.032,3.635,4.315,3.635,4.032,7.01,3.635,3.635,3.635,6.605,2.968,3.635,3.635,3.635,3.635,3.635,3.635,3.635,3.635,6.58,6.318,4.032,4.032,6.472,4.032,3.635,3.635
ref_00045,6.652,3.372,3.372,6.652,3.766,3.372,3.766,3.372,3.766,3.766,3.766,3.766,3.766,4.048,3.372,3.766,3.766,6.772,3.766,3.372,4.048,6.429,3.372,3.372,3.766,3.766,3.766,3.372,3.766,3.766,3.372,6.722,6.429,3.766,3.372,6.772,3.766,3.766,3.372
ref_00046,6.694,3.789,3.395,6.431,4.071,3.789,3.395,3.789,3.789,4.071,3.789,3.789,3.789,3.789,3.789,3.395,3.395,6.796,3.395,3.789,3.395,6.712,3.395,4.071,3.789,4.071,3.395,4.071,3.789,3.395,4.071,7.088,6.196,3.789,3.789,6.541,3.395,3.395,4.071
ref_00047,6.541,3.875,3.875,6.745,3.48,3.875,3.875,3.875,4.157,3.48,3.875,3.48,3.875,3.48,3.875,3.875,2.817,6.47,3.875,3.875,3.875,6.541,3.48,3.875,3.875,3.48,3.875,3.875,3.875,3.875,3.48,6.817,5.592,3.48,3.875,6.668,3.48,3.48,3.48
ref_00048,6.663,2.977,3.644,6.817,3.644,3.644,3.644,2.977,3.644,3.644,3.644,3.644,2.977,4.041,3.644,3.644,3.644,6.145,2.977,3.644,4.041,6.663,3.644,3.644,4.041,3.644,3.644,3.644,2.977,3.644,4.041,6.481,5.818,4.041,3.644,6.776,3.644,3.644,3.644
ref_00049,6.012,3.909,3.909,6.683,3.909,3.909,3.909,3.909,4.192,3.514,3.909,4.192,3.909,3.909,3.514,3.514,3.514,6.966,3.514,3.514,2.85,6.981,3.909,4.192,3.909,3.514,3.514,3.909,3.514,3.909,3.514,6.723,5.789,4.192,3.514,6.553,3.909,3.514,3.909
ref_00050,6.496,3.876,3.481,7.075,3.876,4.159,3.481,3.481,3.481,3.876,3.481,3.876,2.818,4.159,4.159,3.876,3.876,6.818,3.481,3.481,3.481,6.396,3.876,3.876,4.159,3.481,4.159,3.876,3.876,3.481,4.159,6.369,5.804,3.876,3.876,7.101,3.876,3.481,3.876
ref_00051,6.474,3.085,3.755,6.729,3.755,3.755,3.755,3.085,3.755,3.755,3.085,3.755,3.085,3.085,4.153,3.755,3.085,6.537,3.755,3.755,3.755,6.651,3.755,3.755,3.755,3.085,3.755,3.755,3.755,3.755,3.755,6.931,6.259,3.085,3.755,6.506,3.755,3.755,3.755
ref_00052,6.496,3.436,3.436,6.755,3.436,3.436,3.831,3.436,2.775,3.831,3.436,4.113,3.831,3.436,3.436,3.436,3.436,6.806,3.831,3.831,3.436,6.296,3.831,3.436,3.436,4.113,3.831,3.436,3.436,3.831,3.831,6.701,6.35,3.831,3.436,6.45,3.436,3.436,3.436
ref_00053,6.356,4.2,3.522,6.732,3.522,3.522,3.917,4.2,3.522,3.917,4.2,3.917,3.917,3.917,3.522,3.522,3.917,7.004,3.917,3.522,3.917,6.356,3.917,3.522,3.917,3.917,4.2,3.522,3.522,3.917,3.917,6.807,5.937,3.522,3.522,6.514,3.522,3.522,3.522
ref_00054,6.768,3.794,3.399,6.23,3.794,3.399,3.399,4.076,3.794,4.076,3.399,3.794,3.794,3.794,3.794,3.399,3.794,6.716,3.399,3.399,3.399,6.662,3.399,3.399,3.399,3.399,3.794,3.794,3.399,3.794,3.399,6.524,6.412,3.794,4.076,6.922,3.399,3.399,4.076
ref_00055,6.589,3.74,3.346,6.448,3.74,3.346,3.74,4.022,3.74,4.022,3.74,4.022,3.74,3.74,3.346,4.022,3.74,6.589,4.022,3.346,3.346,6.746,4.022,3.74,3.74,3.346,4.022,4.022,3.74,4.022,4.022,6.895,6.175,4.022,3.74,6.909,3.74,3.74,4.022
ref_00056,6.427,4.115,4.115,6.872,3.833,3.438,3.833,3.833,3.438,4.115,3.438,3.833,3.438,3.833,3.438,4.115,4.115,6.605,3.833,3.438,3.438,6.645,3.438,3.833,2.776,3.438,3.833,4.115,3.438,3.438,4.115,6.84,6.211,3.438,3.833,6.756,3.833,3.438,3.833
ref_00057,5.957,3.98,3.584,6.907,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.584,3.98,3.98,2.918,3.584,6.693,2.918,3.584,3.584,6.625,2.918,3.98,3.584,3.584,3.584,3.98,3.98,3.98,3.98,6.475,6.502,2.918,3.98,6.578,3.584,3.584,2.918
ref_00058,6.004,3.432,3.827,6.85,3.827,3.827,4.109,3.432,3.432,3.432,3.827,3.432,3.432,3.827,3.827,4.109,3.827,6.75,3.432,3.432,3.827,6.866,3.432,3.827,3.432,3.432,4.109,3.827,3.827,3.827,3.432,7.051,6.579,3.432,3.432,6.319,3.432,3.432,3.827
ref_00059,6.248,3.418,3.418,6.718,4.314,4.094,4.094,3.812,3.812,3.812,3.418,3.418,4.094,3.812,3.418,3.418,3.418,6.406,3.812,4.094,3.418,6.819,3.418,3.812,3.812,4.094,4.094,3.812,3.418,3.812,3.418,7.023,6.19,4.094,3.812,6.753,3.812,3.418,3.418
ref_00060,6.467,3.431,4.107,6.444,3.825,3.825,3.431,3.431,3.431,3.825,3.825,4.107,3.825,3.825,3.825,3.431,3.825,6.676,3.431,3.431,3.431,6.233,3.825,3.431,3.825,4.107,3.825,2.769,3.431,3.825,3.431,6.864,6.444,4.107,3.825,7.124,3.431,3.825,3.431
ref_00061,6.145,3.569,3.569,6.819,3.569,3.569,3.965,4.248,3.569,4.248,3.965,3.569,3.569,2.904,3.569,4.248,3.965,6.586,3.569,3.965,3.569,5.985,3.569,3.965,3.569,3.569,3.569,3.965,3.569,3.965,3.965,6.538,6.145,3.569,3.569,6.61,2.904,3.569,3.569
ref_00062,6.478,3.95,3.276,6.235,3.95,3.669,3.669,3.276,3.276,3.669,3.95,3.95,3.669,3.669,3.95,3.276,3.276,7.056,3.95,3.95,3.95,6.073,4.17,3.669,3.95,3.669,3.669,4.17,3.669,3.669,4.17,7.19,5.88,3.669,3.669,6.902,3.669,3.276,3.276
ref_00063,6.347,3.631,3.631,6.763,3.631,3.631,3.631,2.964,2.964,4.028,2.964,3.631,3.631,3.631,3.631,3.631,2.964,6.576,3.631,3.631,4.028,6.763,2.964,3.631,2.964,3.631,2.964,3.631,2.964,3.631,4.028,6.314,5.554,2.964,4.028,6.784,3.631,3.631,3.631
ref_00064,6.109,3.622,3.903,7.082,3.903,4.122,3.622,3.622,4.122,3.23,3.622,3.903,3.903,3.903,3.23,3.903,3.23,6.449,3.903,3.622,3.903,6.487,3.622,3.622,3.903,3.622,3.622,3.23,3.23,3.622,3.622,7.051,6.348,3.622,3.622,7.215,3.622,3.622,3.622
ref_00065,6.231,3.373,3.373,7.135,3.767,4.049,3.767,4.049,3.767,3.767,3.767,3.767,4.049,3.767,3.767,4.269,3.767,6.408,3.373,3.767,3.767,6.724,3.373,4.049,4.049,3.373,3.767,3.373,4.049,3.373,3.373,6.559,5.739,3.373,4.269,6.757,4.049,3.373,3.767
ref_00066,6.391,3.451,3.846,6.838,3.451,3.846,3.846,3.846,3.846,4.128,3.846,3.451,3.846,4.128,3.846,3.451,3.451,6.416,3.846,3.451,3.846,6.416,3.846,3.451,3.451,2.789,3.451,3.846,3.451,3.846,3.846,6.534,6.365,3.846,3.846,6.975,3.451,3.846,2.789
ref_00067,6.702,3.244,3.917,6.538,3.917,3.636,3.636,3.636,3.244,3.244,3.244,3.636,3.917,3.917,3.244,3.244,3.244,6.538,3.917,3.917,3.636,6.124,3.636,3.636,3.917,3.917,3.636,3.917,3.244,3.244,3.636,6.639,6.483,3.917,3.244,7.239,3.917,3.917,3.636
ref_00068,6.095,3.812,3.812,6.394,4.21,3.141,3.812,3.812,3.812,3.141,3.812,3.141,3.141,3.141,3.141,3.812,3.141,7.068,4.21,3.141,4.21,6.735,3.812,4.21,3.812,3.141,4.21,4.21,3.812,3.812,3.812,6.499,5.872,3.141,3.812,6.859,3.141,3.812,4.21
ref_00069,6.019,3.69,4.088,6.232,3.022,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,4.088,3.69,3.022,4.088,6.11,4.088,3.022,3.69,6.584,4.088,3.69,3.69,3.69,4.088,4.088,4.088,3.69,4.088,7.016,6.065,4.088,3.69,6.584,3.69,3.69,3.69
ref_00070,5.665,3.551,3.947,6.296,3.551,3.551,3.947,2.886,3.551,3.947,3.551,3.551,3.551,3.551,3.551,3.947,3.947,6.519,3.551,3.551,3.947,6.8,3.947,3.947,3.551,3.551,3.551,3.551,3.551,3.551,2.886,6.742,5.398,3.947,2.886,7.049,3.551,3.551,3.551
ref_00071,6.294,3.549,4.228,6.294,3.549,3.549,2.884,3.945,3.549,3.549,3.945,3.549,3.549,3.549,3.549,3.945,3.945,6.635,3.549,3.549,3.549,6.412,3.945,3.549,3.549,3.945,3.945,3.945,3.549,3.945,3.945,6.798,6.294,3.945,3.945,6.76,3.549,3.549,4.228
ref_00072,6.15,3.998,3.323,7.094,3.323,3.323,3.323,4.217,3.716,3.323,3.323,3.323,3.998,3.716,3.323,3.998,3.998,6.401,3.323,3.323,4.217,6.15,3.323,3.323,3.716,3.998,3.998,3.998,3.998,3.323,3.998,6.951,6.308,3.716,3.998,7.001,3.998,3.998,3.323
ref_00073,5.966,3.789,3.789,6.166,3.789,3.789,3.118,3.789,4.187,3.118,3.789,4.187,3.118,3.789,4.187,3.789,3.789,6.737,3.118,3.789,3.789,6.071,3.789,3.118,3.118,3.118,3.789,3.789,3.789,3.789,3.789,6.442,6.508,3.789,3.789,6.763,3.789,3.789,3.789
ref_00074,6.242,3.439,3.439,6.775,3.439,3.439,3.834,3.439,3.834,3.439,3.834,3.439,3.834,3.834,3.834,3.439,3.439,6.74,3.834,3.439,4.116,6.379,3.439,3.439,3.834,3.439,3.439,3.439,3.439,3.439,3.439,6.775,6.181,3.834,3.439,6.991,3.439,3.439,3.439
ref_00075,5.998,4.032,3.357,7.14,3.751,4.032,4.032,3.751,3.357,3.751,3.357,3.357,4.032,3.751,3.357,4.032,3.751,6.74,3.357,4.032,4.032,6.501,3.751,3.751,3.357,3.751,3.751,3.751,3.751,3.751,3.751,6.849,6.637,3.751,3.357,6.619,4.032,3.357,3.751
ref_00076,5.758,4.211,3.533,6.889,3.533,3.533,3.533,3.929,3.929,3.533,3.533,3.533,3.929,3.929,3.533,3.929,3.533,6.367,3.533,3.929,3.929,6.367,3.929,2.869,3.533,4.211,2.869,3.533,3.929,3.929,3.533,6.905,6.278,3.533,4.211,6.743,3.533,2.869,3.533
ref_00077,6.487,3.822,3.822,6.922,4.105,3.428,3.428,3.428,3.822,3.428,4.105,3.428,4.105,4.105,3.822,3.822,4.105,6.532,3.428,3.428,3.822,6.654,3.822,3.428,3.822,3.428,3.822,3.428,3.822,4.105,3.822,7.007,6.0,3.428,3.428,6.907,3.822,2.767,3.822
ref_00078,6.761,3.63,3.63,6.672,4.026,4.026,4.026,3.63,3.63,4.026,4.026,3.63,3.63,2.963,3.63,3.63,3.63,6.672,4.026,3.63,4.026,6.047,3.63,3.63,4.026,3.63,3.63,3.63,4.026,4.026,3.63,6.954,6.047,4.026,3.63,6.438,4.026,3.63,3.63
ref_00079,6.144,3.498,3.498,6.273,3.498,3.498,3.498,3.498,4.176,4.176,3.893,3.893,3.498,4.176,3.498,3.498,3.498,6.818,2.835,3.893,3.498,6.764,3.498,3.893,3.498,3.498,3.498,3.893,3.498,3.893,3.498,7.024,6.413,3.498,2.835,6.801,2.835,3.893,4.176
ref_00080,6.154,3.543,3.938,6.753,3.938,3.543,3.543,3.543,3.938,4.221,3.543,3.543,3.938,3.543,3.543,3.543,3.938,6.964,3.543,3.543,3.938,6.405,3.543,2.878,3.543,3.543,2.878,3.543,3.938,3.543,3.543,6.713,5.819,3.543,2.878,6.606,2.878,3.938,2.878
ref_00081,6.853,3.319,3.994,6.701,3.712,3.712,3.994,3.994,3.712,4.213,3.712,3.994,3.994,3.319,3.712,3.712,3.319,6.28,3.994,3.994,3.319,6.764,3.994,3.712,3.319,4.213,3.994,3.319,3.319,3.712,3.319,6.579,6.561,3.712,3.712,6.824,3.712,3.319,3.319
ref_00082,6.702,3.908,3.512,6.479,3.908,3.908,3.512,3.908,3.512,3.512,3.908,3.512,3.512,3.908,3.908,3.512,4.19,6.833,3.908,3.512,3.512,6.702,3.512,3.512,3.908,3.908,3.512,3.908,3.512,3.908,3.512,6.797,6.346,4.19,3.908,6.994,3.512,3.512,3.512
